nemultumiri_sist_fiscal,schimbari_sist_fiscal,ce_ofera_sistemul,nemultumiri_sist_fiscal_sentiment,schimbari_sist_fiscal_sentiment,ce_ofera_sistemul_sentiment,nemultumiri_sist_fiscal_prep,schimbari_sist_fiscal_prep,ce_ofera_sistemul_prep
Taxele și impozitele exagerat de mari dar și procedurile complexe de plată ale acestora.,Aș scădea cotele impozitelor și taxelor.,O viață gra ca economist.,0,0,1,tax impoz exager mar procedur complex plat acestor,scad cot impoz tax,viat economist
Faptul ca se afla intr-o continua schimbare.,As incuraja investiiile prin diminuarea cotelor taxelor.,Taxe si impozite de platit,0,1,0,fapt afla intr o continu schimb,incuraj investii prin diminu cot tax,tax impoz platit
"Eu consider că România are, în ceea ce privește fiscalitatea, un mecanism lipsit de predictibilitate, un aparat fiscal birocratic, lucru care nu produce efecte benefice țării noastre.
Un alt aspect negativ, în ceea ce privește fiscalitatea în România, este lipsa de stabilitate a acestuia. Eu consider că, în condițiile în care legea în România se schimbă ”de la o zi la alta”, este aproape imposibil ca întreprinderile, companiile să se poată adapta cu ușurință și să răspundă prompt la aceste schimbări. Acest lucru, duce după părerea mea la îngreunarea colectării veniturilor publice din taxe și impozite.
Un alt lucru care mă nemulțumește la sistemul fiscal românesc este această continuă jonglare cu taxele și impozitele. De multe ori am asistat la desființarea unei anumite taxe, sau a unui anumit impozit, acest lucru fiind urmat însă de introducerea altora, sau majorarea celor existente. Consider că acest lucru dovedește lipsa de profesionalism și stabilitate a sistemului fiscal în ochii românilor, fapt ce determină și această îngreunare onorării acestor obligații la care cetățeanul este supus.Toate aceste lucruri duc la dispariția încrederii din partea contribuabililor față de sistemul fiscal.
Pe de altă parte, cred că sistemul fiscal din România ar trebui să fie mult mai transparent, în ceea ce privește problema cheltuielilor publice. ","Dacă aș avea posibilitatea să schimb ceva în ceea ce privește sistemul fiscal din România, m-aș axa în primul rând asupra problemei amintite mai sus, legată de informarea agentului economic cu privire la obligațiile la care acesta trebuie să răspundă, cât și la stabilirea unui sistem de legi stabil, clar, care să nu trebuiască să fie supus schimbărilor atât de frecvent.
În al doilea rând aș încerca să expun alocarea resurselor bugetului statului cu o mai mare transparență față de contribuabili.
","Sistemul fiscal actual, oferă sau ar trebui să ofere, baza, susținerea și realizarea veniturilor publice, necesare efectuării cheltuielilor publice  de care un stat democratic are nevoie. Însă din păcate sistemul fiscal este înconjurat de o birocrație excesivă, un număr mare de taxe și impozite, un sistem ce plasează încurajarea investițiilor pe un plan secund, și o relaționare ineficientă între contribuabili și  autoritățile fiscale.",1,1,1,consider roman cee privest fiscal mecanist lipsit predict apar fiscal birocrat lucru car produc efect benef tar noastr aspect negat cee privest fiscal roman este lips stabil acestui consider condit car leg roman schimb alta este aproap impos intreprinder compan poat adapt usurint raspund prompt acest schimbar acest lucru duc dup parer ingreun colectar venitur public tax impoz lucru car nemultumest sist fiscal roman este aceast continu jongl tax impoz mult asist desfiint une anum tax unu anum impoz acest lucru fiind urmat insa introduc altor major celor existent consider acest lucru dovedest lips profesionalist stabil sist fiscal ochi roman fapt determin aceast ingreun onorar acestor obligat car cetatean este supus to acest lucrur disparit increder part contribu fat sist fiscal alta part cred sist fiscal roman treb mult transparent cee privest problem cheltuiel public,dac ave posibil schimb cev cee privest sist fiscal roman m as prim rand asupr probleme amint legat inform agent econom priv obligat car acest trebui raspund stabil unu sist leg stabil clar car trebuiasc supus schimbar atat frecvent doil rand incerc expun aloc resur buget stat mar transparent fat contribu,sist fiscal actual ofer treb ofer baz sustin realiz venitur public neces efectuar cheltuiel public car stat democrat nevoi insa pacat sist fiscal este inconjur birocrat exces numar mar tax impoz sist plas incuraj investit plan secund relation ineficient intre contribu autoritat fiscal
Impozitele si taxele prea mari.,Stabilitatea si transparenta sa fie mai mare.,"Pensii, iluminarea strazilor, dezvoltarea infrastructurii.",0,0,0,impoz tax pre mar,stabil transparent mar,pens ilumin straz dezvolt infrastructur
Tot.,Tot.,Nimic.,1,1,0,,,nimic
coruptia,-,"-servicii de proasta calitate
-salarii mici",0,1,0,corupt,, servic proast calitat salar mic
Foarte multă corupție.,Tot . Aş lua drept exemplu sistemul fiscal din Germania  .,Nimic,1,1,0,foart mult corupt,drept exemplu sist fiscal german,nimic
"Prea multe persoane , care nu fac nimic sa fie mai bine ..","Sa nu mai avem asa multe taxe , impozitele sa nu fie asa mari, intr-u cat sa fie mai bine pentru tara.",Nu prea multe.,0,0,0,pre mult persoan car nimic bin,avem mult tax impoz mar intr u bin pentru tar,pre mult
Taxele si impozitele prea mari,As reduce unele taxe si impozitele,Sustinere pentru a realiza obiective,0,0,1,tax impoz pre mar,reduc une tax impoz,sustin pentru realiz obiect
Sistemul românesc este unul slab în comparație cu sistemul altor țări.,"Dacă aș fi ministrul finanțelor aș încerca să fac un sitem mai bun, mai perfecționat. Sistemul fiscal românesc din România are nevoie de mai multă stabilitate, transparenţă şi predictabilitate.",Sistemu fiscal actual oferă toatalitatea impozitelor plătite de persoanele fizice sau juridice române.,0,1,1,sist roman este un slab comparat sist altor tar,dac ministr finant incerc sit perfection sist fiscal roman roman nevoi mult stabil transparent predict,sistemu fiscal actual ofer toatal impoz platit persoan fizic jurid roman
Mă nemulțumește lipsa organizării a sistemului fiscal.," Sistemul fiscal românesc are nevoie urgent de o schimbare și primul lucru pe  care l-aș face dacă  aș fi ministrul finanțelor publice ar fi  transparența în sistemul fiscal. Aș pune funcționari publici competenți, aș reduce numărul taxelor.","Sistemul fiscal actual oferă bază financiară, contribuie la stimularea bunei desfășurări a agenților economici, oferă control al resurselor financiare.",0,0,1,nemultumest lips organizar sist fiscal,sist fiscal roman nevoi urgent schimb prim lucru car l as fac dac ministr finant public transparent sist fiscal pun functionar public competent reduc numar tax,sist fiscal actual ofer baz financiar contribui stimul bune desfasurar agent econom ofer control resur financiar
impozitele,reducerea impozitelor,nimic,1,0,0,impoz,reduc impoz,nimic
Sunt prea multe taxe și impozite după părerea mea mai bine ar fi mai puține dar mai ridicate. Adică sistemul fiscal să primească la fel de mulți bani și cu mai puține taxe.,"Părera mea este că ar fi mai bine ca salariatul să vadă exact câți bani cheltuie o firmă cu plata salariului acestuia, să nu mai fie nevoită firma să plătească și ea contribuții separate pentru acelaș-i salariat.",Am observat că unul din beneficiii este că poți să îți plătești impozitele online.,0,0,0,sunt pre mult tax impoz dup parer bin putin ridic adic sist fiscal prim mult ban putin tax,parer este bin salar vad exact cat ban cheltui firm plat salar acestui nevoit firm plat contribut separ pentru acelas salar,observ un beneficii este pot platest impoz onlin
"Valoarea impozitelor mult prea ridicata, birocratia excesiva.","Reducerea birocratiei, scaderea taxelor si impozitelor, asigurarea predictibilitatii si transparentei politicii fiscale, stimularea investitiilor.","Nu foarte multe; bugetul statului fiind impartit superficial, adica noi nu beneficiem de servicii de calitate, aferente valorii impozitelor, banii nefiind folositi pentru imbunatatirea sistemului medical sau a infrastructurii țării.",0,0,0,valoar impoz mult pre ridic birocrat exces,reduc birocr scad tax impoz asigur predictibil transparente polit fiscal stimul invest,foart mult buget stat fiind impart superficial adic benefic servic calitat aferent valor impoz ban nefiind folos pentru imbunatat sist medic infrastructur tar
Taxele ridicate care nu stimulează crearea de noi afaceri si care l rândul ei determina evaziunea fiscală intr-o măsura foarte mare ,"Impozitele, taxele si dupa o analiza mai amănunțită mult mai multe ",Nu oferă mai nimic ,0,0,0,tax ridic car stimul crear afacer car rand determin evaziun fiscal intr o masur foart mar,impoz tax dup analiz amanunt mult mult,ofer nimic
taxele si impozitele mari raportate la salariile din Romania ,As scadea taxele si imozitele si as mari amenzile ,Protectie ,0,0,1,tax impoz mar raport salar roman,scad tax imoz mar amenz,protect
Taxe mult prea mari,taxa auto,nimic,0,0,0,tax mult pre mar,tax auto,nimic
lipsa trasparentei,As constitui un climat de icredere intre cetatean si stat.,Obligatia de a plati taxe si impozite.,0,1,1,lips trasparente,constit climat icred intre cetatean stat,obligat plat tax impoz
Taxele și impozitele sunt prea mari.,Daca a-și fi ministrul finanțelor publice aș reduce taxele și impozitele.,"Asigură resursele financiare necesare pentru învățământ, sănătate etc.",0,0,1,tax impoz sunt pre mar,dac a si ministr finant public reduc tax impoz,asig resur financiar neces pentru invatamant sanat
-,-,-,1,1,1,,,
Transparenta  și încrederea ,Încrederea cetățenilor și o dezvoltare mai eficienta a sistemului fiscal cât și a investițiilor ,"Impozit pe venit mic, taxe mari, o  birocrație excesiva, dar oferă și speranță",1,1,0,transparent incred,incred cetaten dezvolt eficient sist fiscal investit,impoz venit tax mar birocrat exces ofer sperant
Gradul de transparentă cu privire la modul in care se cheltuiesc banii publici ,Nu știu. ,Taxe si impozite mari.,0,0,0,grad transparent priv mod car cheltui ban public,stiu,tax impoz mar
"Taxele și impozitele sunt prea mari, iar oamenii nu sunt stimulați sau ajutați sa iși inființeze propria afacere.",Aș schimba sistemul de taxe și impozite și l-aș regândi pentru fiecare categorie de salariat. De asemena aș schimba și modul de administrare al cheltuielilor publice.,"În momentul actual, pot să spun ca sistemul fiscal actual nu-mi oferă nici măcar garanția unei pensii la bătrânețe.",0,0,0,tax impoz sunt pre mar oamen sunt stimulat ajutat infiint propr afac,schimb sist tax impoz l as regand pentru fiec categor salar asemen schimb mod administr cheltuiel public,moment actual spun sist fiscal actual nu m ofer nic macar garant une pens batranet
taxele si impozitele ,"scaderea taxelor si impozitelor, cresterea salariilor, mai multe locuri de munca", salariile mici,1,0,0,tax impoz,scad tax impoz crest salar mult locur munc,salar mic
"Nu functioneaza destul de eficient astfel incat unele intreprinderi reusesc sa se eschiveze de la plata unor tipuri de impozite, de ex : impozitul pe profit","As implimenta niste amenzi destul de ridicate pentru cei ce nu respecta termenul de achitare a impozitelor si cei care se eschiveaza de la plata lor si m-as concentra pe crearea increderii intre stat si cetateni, plus as acorda si unele facilitati pentru cei care isi respecta obligatiile de contribuabil.","bursa, protectie sociala si servicii de interes public general pentru ca prin intermediul sistemului fiscal se gasesc resurse pentru finantarea acestora.",0,1,1,functioneaz dest eficient astfel incat une intreprinder reus eschiv plat unor tipur impoz impoz profit,impliment nist amenz dest ridic pentru respect termen achit impoz car eschiveaz plat m as concentr crear increder intre stat cetaten plus acord une facil pentru car respect oblig contribu,burs protect social servic interes public general pentru prin intermed sist fiscal gasesc resur pentru finant acestor
Raportul dintre salarii(mult prea mici)-taxe(mult prea mari și multe) este în defavoarea atât angajatorului cât și angajatului. ,"Scăderea taxelor, impozitelor și aducerea salariilor la standardele UE.","Stabilitate, finanțarea serviciilor publice",0,0,1,raport dintr salar mult pre mic tax mult pre mar mult este defavoar atat angaj angaj,scad tax impoz aduc salar standard,stabil finant servic public
"Pe lângă faptul că, au caracter obligatoriu, ceea ce presupune ca toate persoanele fizice și/sau juridice care realizează venituri dintr-o anumită sursă să participe prin impozite la constituirea fondurilor generale ale statului, ar fi mai ideal ca fiecare cetățean să aibă conformare voluntară la acest sistem fiscal, dar care ar putea fi mai ieftin pentru noi, ca și în alte state și mai bine administrat.","Din punctul meu de vedere taxele pentru că sunt o prelevare fără contracompensație sau fără vreun echivalent direct și imediat din partea statului în favoarea contribuabiluli, aș modifica sistemul spre un ramburs minim, dar motivant pentru contribuabili.","Eu consider că, sistemul fiscal oferă baza financiară pentru exercitarea autorităţii, cu speranța noastră, ca în viitorul apropiat...ne vom apropia de statele fruntașe în segmentul sistemului fiscal.",1,1,1,lang fapt caracter obligatoriu cee presupun toat persoan fizic si s jurid car realiz venitur dintr o anum surs particip prin impoz constitu fondur general stat ideal fiec cetatean aib conform volunt acest sist fiscal car put ieftin pentru alte stat bin administr,punct veder tax pentru sunt prelev far contracompensat far vreun echivalent direct imed part stat favoar contribuabilul modif sist spre ramburs min motiv pentru contribu,consider sist fiscal ofer baz financiar pentru exercit autor sperant noastr viitor aprop aprop stat fruntas segment sist fiscal
