1. Ce vă nemulțumește la sistemul fiscal românesc?,2. Dacă ați fi ministrul finanțelor publice ce ați schimba la sistemul fiscal românesc?,"3. În opinia dumneavoastră, ce vă oferă sistemul fiscal actual?"
birocratia ,as reduce numarul taxelor si as incuraja investitiile ,prea putine facilitati contribuabililor 
"Transparența foarte mică, birocrația.","Crearea unui sistem centralizat,  transparent, online, unde fiecare cetățean poate vedea pe ce sunt cheltuiți banii publici.", - 
-,-,-
Nu am un raspuns. Probabil dupa ce voi studia mai multe despre.,Nu am un raspuns. Probabil dupa ce voi studia mai multe despre.,Nu am un raspuns. Probabil dupa ce voi studia mai multe despre.
-,-,-
Țara noastră are una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice.,impozitul total pe profitul companiilor,Dezechilibrarea veniturilor
este foarte haotic.,"realizarea unui sistem mai bine pus la punct, un personal calificat .","foarte putine facilitati pentru studenti sau persoane nevoiase, elevi."
modul de investitie a banilor in tara si in dezvoltarea ei,"modul de administrare a banilor, explicatia flosirii banilor intr-un mod mai explicit pentru popor la nivel national, cautarea unei ridicari financiare a tarii","sistemul fiscal ofera o oarecare siguranta ca in momentul in care ramai fara unn job, vei avea totusi un minim de venit"
Sumele provenite din taxe si impozite nu sunt directionate eficient.,Verificarea cat mai drastica a modului in care sunt cheltuiti banii publici.,Siguranta zilei de maine.
"Pe mine mă nemulțumește faptul că unele taxe sunt prea mari pentru țara în care trăim.Spre exemplu, dacă te angajezi undeva statul ia aproape jumătate din salariul tău, ceea ce nu mi se pare corect... Mi s- ar părea în regulă să ia undeva la 20% , dar nu chiar atât de mult. Mai sunt și alte taxe mari la noi, și sper ca într-o bună zi să putem să ne descurcăm și cu minimul pe economie. ","La această întrebare mi-e greu să răspund, datorită faptului că nu sunt atât de bine documentată încă în ceea ce privește sistemul fiscal. Probabil, aș reduce unele taxe, care sunt prea mari pentru țara în care trăim.","Pot să spun că acest sistem oferă stabilitate, și da, avem nevoie de el, altfel ar fi haos."
Prea multe fraude!,DA,"In opinia mea sistemul fiscal ofera taxe , impozite."
Schimbarile prea dese la fiscalitate.,Nu prea stiu ce as schimba.,Nu stiu
"Ca nu e transparent, ca nu are predictibilitate si stabiitate, astfel incat este greu pentru un antreprenor sa isi faca un plan de afaceri care sa fie cat mai aproape de adevar.","Nu stiu exact acum, dar multe",Nu prea multe beneficii
Gradul scăzut de transparență referitor la modul de cheltuire a banului public de către stat, . ,.
"
Acte extrem de multe","
Sa fie mai usor procesul de infiintare a unei firme.",Nimic
"Ma nemultumeste faptul  ca  taxele si impozitele  sunt  destul de mari , in comparatie cu salarul .",As reduce  din taxe  si impozite.,Sistemul fiscal in momentul de fata imi ofera faptul ca sunt scutita de anumite taxe.
impozitele romanesti sunt mici,As dezvolta si implementa o strategie moderna pe termen lung sa fie esentiala in contextul concurentei ce se manifesta intre statele europene pentru atragerea noilor investitii si crearea de noi locuri de munca,Ofera simplificarea muncii de colectare si evidenta impozitelor
"Impunerea de constrângeri tari rău-platnicilor și diminuarea nivelului nominal al impozitelor pe partea de venituri ar trebui să aducă lărgirea bazei de aplicare și creșterea eficienței în colectare.
Pe partea de cheltuieli, ar trebui să primeze creșterea eficienței în alocarea fondurilor, și nu tăierea oarbă a sumelor fără modificarea structurii de utilizare.","In primul rand ar fi nevoie de mai multa stabilitate,transparenta si predictibilitate in politica fiscala. 
As promova depunerea electronica a declaraţiilor fiscale şi plata electronică a acestora, dar şi controalele fiscale electronice, astfel încât per­turbarea activităţii normale a con­tribua­bililor să fie minimă.
Pe lângă măsurile de stimulare a consumului intern (reducerea TVA, reducerea nivelului de fiscalizare a muncii), pentru creşterea competitivităţii este nevoie mai ales de măsuri de stimulare a investiţiilor. Sistemul fiscal trebuie să fie suplu şi uşor de aplicat; facilităţile oferite trebuie să aibă aplicare cât mai largă şi să ofere un real avantaj contribuabilului",Dezechilibre care trebuie corectate mâine.Exact cum am specificat la intrebarea numarul 11.
"Timpul mult de așteptare pentru a solicita o adeverință, lipsa unei platforme unde sa poți sa soliciți  adeverințe online fară  sa te mai deplasezi.",Conectarea caselor de marcat la ANAF pentru a limita venitul la negru și digitalizarea întregului sistem.,Sistemul fiscal actual nu ofera nimic.
Birocratia,"As promova depunerea electronică a declaraţiilor fiscale şi plata electronică a acestora, dar şi controalele fiscale electronice.",Servicii de protecție socială
Țara noastră are una dintre cele mai reduse cote din Europa la impozitul pe venitul persoanelor fizice.,"

Dacă ați fi ministrul finanțelor publice aş schimba taxa impozitelor.",Sistemul fiscal actual oferă infrastructură.
"Lipsa de transparență, prestarea serviciilor publice de slabă calitate, taxe și impozite prea ridicate în comparație cu salariul minim pe economie.","Transparența, oferirea mai multor servicii publice de calitate, constituirea unui climat de încredere între cetățean și sistemul fiscal.",Realizarea unor acțiuni și obiective necesare membrilor societății.
...,...,...
"impozitul pe profit (16%), cota standard TVA ( 19% ), impozitul pe venit (41.5% )","As scadea taxele si impozite spre minim, as crea legi ce sa incurajeze mediul privat si munca.",Multe servicii proaste.
